dungeon,affix1,affix2,affix3,pool1,pool2,pool3
Vault of the Wardens,Fortified,Volcanic,NA,1,0,1
Darkheart Thicket,Tyrannical,Explosive,Sanguine,1,0,1
Upper Karazhan,Tyrannical,Raging,Explosive,1,0,1
Court of Stars,Tyrannical,Teeming,NA,1,0,1
Maw of Souls,Fortified,Quaking,Bursting,1,0,0
Eye of Azshara,Fortified,Bolstering,NA,1,0,0
Neltharion's Lair,Fortified,Grievous,NA,1,0,0
Seat of the Triumvirate,Fortified,Quaking,Explosive,0,1,1
Lower Karazhan,Fortified,Volcanic,Necrotic,0,1,1
Cathedral of Eternal Night,Fortified,Sanguine,Grievous,0,1,1
Black Rook Hold,Tyrannical,Grievous,Bursting,0,1,0
The Arcway,Tyrannical,Raging,NA,0,1,0
Halls of Valor,Tyrannical,Explosive,Volcanic,0,1,0
